Season,Player,From_Club,To_Club,From_League,To_League,Fee
19/20,Robert Skov,fc-kopenhagen,tsg-1899-hoffenheim,DKMR,L1,10000000.0
19/20,Ihlas Bebou,hannover-96,tsg-1899-hoffenheim,L2,L1,9000000.0
19/20,Jacob Bruun Larsen,borussia-dortmund,tsg-1899-hoffenheim,L1,L1,9000000.0
19/20,Sargis Adamyan,ssv-jahn-regensburg,tsg-1899-hoffenheim,L2,L1,1500000.0
19/20,Joelinton,tsg-1899-hoffenheim,newcastle-united,L1,GB1,43500000.0
19/20,Kerem Demirbay,tsg-1899-hoffenheim,bayer-04-leverkusen,L1,L1,32000000.0
19/20,Nico Schulz,tsg-1899-hoffenheim,borussia-dortmund,L1,L1,25500000.0
19/20,Nadiem Amiri,tsg-1899-hoffenheim,bayer-04-leverkusen,L1,L1,10500000.0
19/20,Vincenzo Grifo,tsg-1899-hoffenheim,sc-freiburg,L1,L1,7000000.0
19/20,Antonio Colak,tsg-1899-hoffenheim,hnk-rijeka,L1,KR1,850000.0
19/20,Lukas Rupp,tsg-1899-hoffenheim,norwich-city,L1,GB1,500000.0
19/20,Robin Hack,tsg-1899-hoffenheim,1-fc-nurnberg,L1,L2,500000.0
19/20,Dawid Kownacki,sampdoria-genua,fortuna-dusseldorf,IT1,L1,6750000.0
19/20,Nana Ampomah,waasland-beveren,fortuna-dusseldorf,BE1,L1,2800000.0
19/20,Benito Raman,fortuna-dusseldorf,fc-schalke-04,L1,L1,10000000.0
19/20,Marvin Ducksch,fortuna-dusseldorf,hannover-96,L1,L2,1500000.0
19/20,Havard Nielsen,fortuna-dusseldorf,spvgg-greuther-furth,L1,L2,100000.0
19/20,Lucas Tousart,olympique-lyon,hertha-bsc,FR1,L1,25000000.0
19/20,Krzysztof Piatek,ac-mailand,hertha-bsc,IT1,L1,24000000.0
19/20,Dodi Lukébakio,fc-watford,hertha-bsc,GB1,L1,20000000.0
19/20,Matheus Cunha,rasenballsport-leipzig,hertha-bsc,L1,L1,18000000.0
19/20,Santiago Ascacíbar,vfb-stuttgart,hertha-bsc,L2,L1,10000000.0
19/20,Eduard Löwen,1-fc-nurnberg,hertha-bsc,L2,L1,7000000.0
19/20,Daishawn Redan,fc-chelsea-u23,hertha-bsc,,L1,2700000.0
19/20,Valentino Lazaro,hertha-bsc,inter-mailand,L1,IT1,22400000.0
19/20,Marius Gersbeck,hertha-bsc,karlsruher-sc,L1,L2,45000.0
19/20,Jerry St. Juste,feyenoord-rotterdam,1-fsv-mainz-05,NL1,L1,8000000.0
19/20,Aarón Martín,espanyol-barcelona,1-fsv-mainz-05,ES1,L1,8000000.0
19/20,Edimilson Fernandes,west-ham-united,1-fsv-mainz-05,GB1,L1,7500000.0
19/20,Ronaël Pierre-Gabriel,as-monaco,1-fsv-mainz-05,FR1,L1,5500000.0
19/20,Jonathan Meier,fc-bayern-munchen-ii,1-fsv-mainz-05,L3,L1,1200000.0
19/20,Jean-Philippe Gbamin,1-fsv-mainz-05,fc-everton,L1,GB1,25000000.0
19/20,Anthony Ujah,1-fsv-mainz-05,1-fc-union-berlin,L1,L1,2000000.0
19/20,Vincenzo Grifo,tsg-1899-hoffenheim,sc-freiburg,L1,L1,7000000.0
19/20,Jonathan Schmid,fc-augsburg,sc-freiburg,L1,L1,4000000.0
19/20,Luca Itter,vfl-wolfsburg,sc-freiburg,L1,L1,2500000.0
19/20,Chang-hoon Kwon,dijon-fco,sc-freiburg,FR1,L1,2000000.0
19/20,Woo-yeong Jeong,fc-bayern-munchen-ii,sc-freiburg,L3,L1,2000000.0
19/20,Tim Kleindienst,sc-freiburg,1-fc-heidenheim-1846,L1,L2,3000000.0
19/20,Florian Niederlechner,sc-freiburg,fc-augsburg,L1,L1,2500000.0
19/20,Vincent Sierro,sc-freiburg,bsc-young-boys,L1,C1,1500000.0
19/20,Jonas Föhrenbach,sc-freiburg,1-fc-heidenheim-1846,L1,L2,500000.0
19/20,Fabian Schleusener,sc-freiburg,1-fc-nurnberg,L1,L2,450000.0
19/20,Ozan Kabak,vfb-stuttgart,fc-schalke-04,L2,L1,15000000.0
19/20,Benito Raman,fortuna-dusseldorf,fc-schalke-04,L1,L1,10000000.0
19/20,Bernard Tekpetey,sc-paderborn-07,fc-schalke-04,L1,L1,2500000.0
19/20,Breel Embolo,fc-schalke-04,borussia-monchengladbach,L1,L1,11000000.0
19/20,Yevgen Konoplyanka,fc-schalke-04,shakhtar-donetsk,L1,UKR1,1800000.0
19/20,Fabian Reese,fc-schalke-04,holstein-kiel,L1,L2,100000.0
19/20,Tomas Koubek,fc-stade-rennes,fc-augsburg,FR1,L1,7500000.0
19/20,Iago,sc-internacional-porto-alegre,fc-augsburg,BRA1,L1,6500000.0
19/20,Carlos Gruezo,fc-dallas,fc-augsburg,,L1,5500000.0
19/20,Rubén Vargas,fc-luzern,fc-augsburg,C1,L1,4000000.0
19/20,Florian Niederlechner,sc-freiburg,fc-augsburg,L1,L1,2500000.0
19/20,Reece Oxford,west-ham-united,fc-augsburg,GB1,L1,2000000.0
19/20,Noah Sarenren Bazee,hannover-96,fc-augsburg,L2,L1,1700000.0
19/20,Marvin Friedrich,1-fc-union-berlin,fc-augsburg,L1,L1,1000000.0
19/20,Mads Pedersen,fc-nordsjaelland,fc-augsburg,DKMR,L1,800000.0
19/20,Martin Hinteregger,fc-augsburg,eintracht-frankfurt,L1,L1,9000000.0
19/20,Jonathan Schmid,fc-augsburg,sc-freiburg,L1,L1,4000000.0
19/20,Marvin Friedrich,fc-augsburg,1-fc-union-berlin,L1,L1,2500000.0
19/20,Sebastiaan Bornauw,rsc-anderlecht,1-fc-koln,BE1,L1,8250000.0
19/20,Ellyes Skhiri,montpellier-hsc,1-fc-koln,FR1,L1,6000000.0
19/20,Birger Verstraete,kaa-gent,1-fc-koln,BE1,L1,4000000.0
19/20,Kingsley Ehizibue,pec-zwolle,1-fc-koln,NL1,L1,2000000.0
19/20,Serhou Guirassy,1-fc-koln,amiens-sc,L1,FR1,6000000.0
19/20,Matthias Bader,1-fc-koln,sv-darmstadt-98,L1,L2,450000.0
19/20,Tim Handwerker,1-fc-koln,1-fc-nurnberg,L1,L2,300000.0
19/20,Samúel Fridjónsson,valerenga-fotball,sc-paderborn-07,NO1,L1,400000.0
19/20,Dennis Srbeny,norwich-city,sc-paderborn-07,GB1,L1,200000.0
19/20,Rifet Kapic,grasshopper-club-zurich,sc-paderborn-07,C2,L1,150000.0
