Season,Player,From_Club,To_Club,From_League,To_League,Fee
22/23,Raúl de Tomás,espanyol-barcelona,rayo-vallecano,ES1,ES1,11000000.0
22/23,Matías Vargas,espanyol-barcelona,shanghai-port,ES1,CSL,4000000.0
22/23,Lei Wu,espanyol-barcelona,shanghai-port,ES1,CSL,1500000.0
22/23,Adrián Embarba,espanyol-barcelona,ud-almeria,ES1,ES1,1000000.0
22/23,Pep Chavarría,real-saragossa,rayo-vallecano,ES2,ES1,1800000.0
22/23,Abdul Mumin,vitoria-guimaraes-sc,rayo-vallecano,PO1,ES1,1500000.0
22/23,Luis Milla,fc-granada,fc-getafe,ES2,ES1,5000000.0
22/23,Domingos Duarte,fc-granada,fc-getafe,ES2,ES1,750000.0
22/23,Mathías Olivera,fc-getafe,ssc-neapel,ES1,IT1,16500000.0
22/23,Vedat Muriqi,lazio-rom,rcd-mallorca,IT1,ES1,8020000.0
22/23,Pablo Maffeo,vfb-stuttgart,rcd-mallorca,L1,ES1,3000000.0
22/23,Predrag Rajkovic,stade-reims,rcd-mallorca,FR1,ES1,2000000.0
22/23,Matthew Hoppe,rcd-mallorca,fc-middlesbrough,ES1,GB2,3000000.0
22/23,Franco Russo,rcd-mallorca,pfk-ludogorets-razgrad,ES1,,1100000.0
22/23,Rodrigo Battaglia,rcd-mallorca,clube-atletico-mineiro,ES1,BRA1,800000.0
22/23,Joan Sastre,rcd-mallorca,paok-thessaloniki,ES1,GR1,400000.0
22/23,Théo Bongonda,krc-genk,fc-cadiz,BE1,ES1,3000000.0
22/23,Brian Ocampo,club-nacional,fc-cadiz,,ES1,1900000.0
22/23,Chris Ramos,cd-lugo,fc-cadiz,ES2,ES1,1500000.0
22/23,Youba Diarra,red-bull-salzburg,fc-cadiz,A1,ES1,1100000.0
22/23,Rubén Alcaraz,real-valladolid,fc-cadiz,ES1,ES1,1000000.0
22/23,Lucas Pérez,fc-cadiz,deportivo-la-coruna,ES1,E3G1,1000000.0
22/23,El Bilal Touré,stade-reims,ud-almeria,FR1,ES1,8000000.0
22/23,Kaiky,fc-santos,ud-almeria,BRA1,ES1,7000000.0
22/23,Lázaro,flamengo-rio-de-janeiro,ud-almeria,BRA1,ES1,7000000.0
22/23,Marko Milovanovic,fk-partizan-belgrad,ud-almeria,SER1,ES1,3500000.0
22/23,Gui Guedes,vitoria-guimaraes-sc,ud-almeria,PO1,ES1,3000000.0
22/23,Gonzalo Melero,ud-levante,ud-almeria,ES2,ES1,1900000.0
22/23,Léo Baptistão,fc-santos,ud-almeria,BRA1,ES1,1500000.0
22/23,Srdjan Babic,roter-stern-belgrad,ud-almeria,SER1,ES1,1100000.0
22/23,Diego Mariño,sporting-gijon,ud-almeria,ES2,ES1,80000.0
22/23,Gonzalo Plata,sporting-lissabon,real-valladolid,PO1,ES1,9000000.0
22/23,Monchu,fc-granada,real-valladolid,ES2,ES1,1200000.0
22/23,Selim Amallah,standard-luttich,real-valladolid,BE1,ES1,1000000.0
22/23,Mickaël Malsa,ud-levante,real-valladolid,ES2,ES1,500000.0
22/23,Iván Sánchez,birmingham-city,real-valladolid,GB2,ES1,100000.0
22/23,Viktor Tsygankov,dynamo-kiew,fc-girona,UKR1,ES1,5000000.0
22/23,Jonathan Dubasin,fc-girona,albacete-balompie,ES1,ES2,750000.0
18/19,Alphonso Davies,vancouver-whitecaps-fc,fc-bayern-munchen,,L1,14000000.0
18/19,Douglas Costa,fc-bayern-munchen,juventus-turin,L1,IT1,40000000.0
18/19,Sebastian Rudy,fc-bayern-munchen,fc-schalke-04,L1,L1,16000000.0
18/19,Juan Bernat,fc-bayern-munchen,fc-paris-saint-germain,L1,FR1,5000000.0
18/19,Sandro Wagner,fc-bayern-munchen,tianjin-teda,L1,CSL,5000000.0
18/19,Suat Serdar,1-fsv-mainz-05,fc-schalke-04,L1,L1,11000000.0
18/19,Rabbi Matondo,manchester-city-u23,fc-schalke-04,,L1,9000000.0
18/19,Salif Sané,hannover-96,fc-schalke-04,L1,L1,7000000.0
18/19,Hamza Mendyl,losc-lille,fc-schalke-04,FR1,L1,6000000.0
18/19,Steven Skrzybski,1-fc-union-berlin,fc-schalke-04,L2,L1,3200000.0
18/19,Thilo Kehrer,fc-schalke-04,fc-paris-saint-germain,L1,FR1,37000000.0
18/19,Benedikt Höwedes,fc-schalke-04,lokomotiv-moskau,L1,RU1,5000000.0
18/19,Naldo,fc-schalke-04,as-monaco,L1,FR1,2000000.0
18/19,Johannes Geis,fc-schalke-04,1-fc-koln,L1,L2,500000.0
18/19,Bernard Tekpetey,fc-schalke-04,sc-paderborn-07,L1,L2,150000.0
18/19,Kasim Adams,bsc-young-boys,tsg-1899-hoffenheim,C1,L1,8000000.0
18/19,Leonardo Bittencourt,1-fc-koln,tsg-1899-hoffenheim,L2,L1,6000000.0
18/19,Vincenzo Grifo,borussia-monchengladbach,tsg-1899-hoffenheim,L1,L1,5500000.0
18/19,Ishak Belfodil,standard-luttich,tsg-1899-hoffenheim,BE1,L1,5500000.0
18/19,Joshua Brenet,psv-eindhoven,tsg-1899-hoffenheim,NL1,L1,3500000.0
18/19,Lucas Ribeiro,esporte-clube-vitoria,tsg-1899-hoffenheim,BRA2,L1,3000000.0
18/19,Benedikt Gimber,tsg-1899-hoffenheim,fc-ingolstadt-04,L1,L2,1000000.0
18/19,Marvin Schwäbe,tsg-1899-hoffenheim,brondby-if,L1,DKMR,700000.0
18/19,Baris Atik,tsg-1899-hoffenheim,sg-dynamo-dresden,L1,L2,600000.0
18/19,Joshua Mees,tsg-1899-hoffenheim,1-fc-union-berlin,L1,L2,500000.0
18/19,Abdou Diallo,1-fsv-mainz-05,borussia-dortmund,L1,L1,28000000.0
18/19,Axel Witsel,tianjin-tianhai-2019-,borussia-dortmund,CSL,L1,20000000.0
18/19,Thomas Delaney,sv-werder-bremen,borussia-dortmund,L1,L1,20000000.0
